City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,batasan,12.7667,120.7833,25.86,77,78,1.48,PH,1675717545
244,suba,10.8438,121.0102,26.74,82,98,7.8,PH,1675717545
245,tukrah,32.5341,20.5791,10.98,62,91,7.02,LY,1675717546
246,beloha,-25.1667,45.05,23.38,85,100,5.44,MG,1675717546
247,koindu,8.4386,-10.3253,27.16,41,100,1.18,GN,1675717547
248,jiayuguan,39.8167,98.3,-4.06,39,2,1.38,CN,1675717547
249,tricase,39.9304,18.3553,4.08,50,91,5.46,IT,1675717547
250,plettenberg bay,-34.0527,23.3716,21.17,96,92,1.13,ZA,1675717548
251,san carlos de bariloche,-41.1456,-71.3082,28.86,16,0,6.69,AR,1675717267
252,rawson,-43.3002,-65.1023,29.16,30,0,6.17,AR,1675717549
253,zhezkazgan,47.8043,67.7144,-21.03,100,51,2.3,KZ,1675717549
254,hay river,60.8156,-115.7999,-20.01,77,75,2.57,CA,1675717550
255,olafsvik,64.8945,-23.7142,-0.59,63,100,17.92,IS,1675717550
256,norman wells,65.282,-126.8329,-25.98,76,75,1.54,CA,1675717550
257,teya,60.3778,92.6267,-25.53,100,100,1.01,RU,1675717551
258,clyde river,70.4692,-68.5914,-33.87,68,20,2.06,CA,1675717551
259,silifke,36.3778,33.9344,7.23,62,82,6.81,TR,1675717552
260,evensk,61.95,159.2333,-29.55,76,50,4.56,RU,1675717552
261,port-gentil,-0.7193,8.7815,26.98,83,20,3.09,GA,1675717552
262,tilichiki,60.4667,166.1,-32.37,94,24,3.93,RU,1675717553
263,shimoda,34.6667,138.95,6.72,56,100,2.56,JP,1675717554
264,saurimo,-9.6608,20.3916,18.2,87,64,1.48,AO,1675717554
265,klaksvik,62.2266,-6.589,6.51,70,100,13.52,FO,1675717555
266,port elizabeth,-33.918,25.5701,23.39,93,20,3.09,ZA,1675717555
267,gunjur,13.2019,-16.7339,21.04,60,58,4.63,GM,1675717556
268,moerai,-22.4333,-151.3333,26.36,76,94,4.6,PF,1675717558
269,port hedland,-20.3167,118.5667,28.03,89,2,2.57,AU,1675717558
270,tanggu,39.0211,117.6469,-6.02,70,3,3.41,CN,1675717559
271,dongning,44.0622,131.1207,-17.51,93,5,1.93,CN,1675717559
272,ponta delgada,37.7333,-25.6667,14.4,94,75,5.66,PT,1675717560
273,constitucion,-35.3333,-72.4167,20.82,64,23,6.67,CL,1675717560
274,tesanjka,44.6731,18.0128,-3.49,63,32,0.58,BA,1675717560
275,hasaki,35.7333,140.8333,6.23,56,100,2.19,JP,1675717471
276,yenagoa,4.9247,6.2642,26.65,81,33,2.78,NG,1675717561
277,tuktoyaktuk,69.4541,-133.0374,-39.0,67,75,2.06,CA,1675717561
278,norwich,52.6278,1.2983,2.7,85,11,1.03,GB,1675717493
279,tuensang,26.2833,94.8333,10.14,81,20,0.86,IN,1675717562
280,abalak,58.1286,68.5944,-19.18,100,100,1.47,RU,1675717563
281,pemangkat,1.1667,108.9667,25.97,84,100,1.38,ID,1675717564
282,segou,13.4317,-6.2157,30.05,11,100,3.06,ML,1675717566
283,longyearbyen,78.2186,15.6401,-2.09,93,100,15.95,SJ,1675717395
284,belmonte,-15.8631,-38.8828,26.85,78,0,5.41,BR,1675717566
285,blackwater,-23.5833,148.8833,24.21,79,78,5.02,AU,1675717446
286,brownsville,25.9018,-97.4975,27.27,69,100,9.77,US,1675717458
287,garowe,8.4054,48.4845,20.69,72,41,6.09,SO,1675717567
288,voznesenye,61.0106,35.4781,-12.08,98,80,1.73,RU,1675717568
289,vostok,46.4856,135.8833,-20.36,98,100,2.15,RU,1675717569
290,vila franca do campo,37.7167,-25.4333,14.23,97,100,1.9,PT,1675717569
291,bethel,41.3712,-73.414,8.17,64,100,5.14,US,1675717570
292,warwick,41.7001,-71.4162,8.51,58,75,8.23,US,1675717353
293,rocha,-34.4833,-54.3333,26.47,55,5,4.7,UY,1675717570
294,pevek,69.7008,170.3133,-36.81,100,100,1.61,RU,1675717571
295,bonavista,48.6499,-53.1147,-3.52,94,100,6.54,CA,1675717572
296,pangnirtung,66.1451,-65.7125,-33.0,68,40,3.6,CA,1675717573
297,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,1675717573
298,catuday,16.2923,119.8062,24.66,77,84,3.43,PH,1675717574
299,papara,-3.9839,-38.7273,27.22,86,25,1.76,BR,1675717574
300,sorrento,40.626,14.3744,3.95,75,81,3.13,IT,1675717575
301,jalu,29.0331,21.5482,10.72,52,74,4.07,LY,1675717577
302,mayumba,-3.432,10.6554,25.74,82,79,0.9,GA,1675717578
303,tirur,10.9,75.9167,24.55,87,90,1.3,IN,1675717578
304,bubaque,11.2833,-15.8333,24.55,69,4,10.35,GW,1675717581
305,eyl,7.9803,49.8164,23.6,77,17,6.66,SO,1675717582
306,thinadhoo,0.5333,72.9333,27.11,76,100,4.77,MV,1675717583
307,daru,-9.0763,143.2092,24.33,93,100,3.83,PG,1675717583
308,tautira,-17.7333,-149.15,26.88,75,43,6.68,PF,1675717584
309,paamiut,61.994,-49.6678,-11.34,89,100,1.56,GL,1675717584
310,broken hill,-31.95,141.4333,21.11,36,1,4.74,AU,1675717586
311,narsaq,60.9167,-46.05,-14.88,66,40,3.64,GL,1675717320
312,tiksi,71.6872,128.8694,-35.53,100,90,2.32,RU,1675717588
313,alice springs,-23.7,133.8833,18.75,63,40,2.57,AU,1675717590
314,jumla,29.2747,82.1838,1.66,86,13,1.47,NP,1675717590
315,peleduy,59.6289,112.7406,-21.27,99,100,0.57,RU,1675717591
316,ouesso,1.6136,16.0517,25.45,43,64,1.17,CG,1675717591
317,balclutha,-46.2339,169.75,20.01,44,10,4.08,NZ,1675717592
318,saint-philippe,-21.3585,55.7679,25.77,84,81,4.83,RE,1675717592
319,mao,39.8885,4.2658,10.31,81,40,3.6,ES,1675717593
320,chakia,26.4167,85.05,12.96,60,0,2.11,IN,1675717593
321,pietersburg,-23.9045,29.4688,20.47,73,2,4.63,ZA,1675717593
322,tambacounda,13.7539,-13.7586,31.03,15,0,3.09,SN,1675717594
323,ilulissat,69.2167,-51.1,-18.99,78,75,3.6,GL,1675717594
324,along,28.1667,94.7667,14.83,63,100,0.57,IN,1675717595
325,buala,-8.145,159.5921,26.8,83,99,3.64,SB,1675717595
326,tutin,42.9903,20.3314,-12.88,97,81,1.3,RS,1675717595
327,tibu,8.639,-72.7358,34.85,35,47,1.94,CO,1675717596
328,am timan,11.0297,20.2827,27.13,11,90,3.02,TD,1675717346
329,aktash,50.3,87.7333,-20.73,94,96,1.77,RU,1675717596
330,san jose,37.3394,-121.895,16.03,52,20,5.66,US,1675717571
331,barranca,-10.75,-77.7667,24.42,73,46,4.17,PE,1675717597
332,kununurra,-15.7667,128.7333,21.99,94,55,0.0,AU,1675717484
333,salinopolis,-0.6136,-47.3561,25.66,88,97,4.68,BR,1675717330
334,wilmington,34.2257,-77.9447,17.22,43,0,5.66,US,1675717580
335,esperance,-33.8667,121.9,19.35,91,0,6.0,AU,1675717597
336,isangel,-19.55,169.2667,30.06,79,75,1.03,VU,1675717598
337,margate,51.3813,1.3862,5.39,91,5,1.79,GB,1675716832
338,prince rupert,54.3161,-130.3201,5.83,91,100,5.14,CA,1675717524
339,tual,-5.6667,132.75,27.36,77,100,6.49,ID,1675717598
340,airai,-8.9266,125.4092,15.47,91,74,0.92,TL,1675717599
341,yarmouth,41.7057,-70.2286,6.26,79,0,10.73,US,1675717599
342,fethiye,36.6217,29.1164,7.93,64,79,4.83,TR,1675717599
343,vanimo,-2.6741,141.3028,24.71,91,100,1.9,PG,1675717600
344,tiznit,29.5833,-9.5,10.23,73,24,0.29,MA,1675717600
345,thai binh,20.45,106.3333,19.79,96,100,3.85,VN,1675717601
346,hofn,64.2539,-15.2082,2.74,71,40,14.52,IS,1675717601
347,arlit,18.7369,7.3853,23.12,13,100,4.6,NE,1675717605
348,quepos,9.4236,-84.1652,29.3,61,1,2.85,CR,1675717605
349,la asuncion,11.0333,-63.8628,25.14,80,100,8.41,VE,1675717605
350,saint george,37.1041,-113.5841,11.35,39,100,3.13,US,1675717606
351,toropets,56.4978,31.6353,-1.98,98,100,1.97,RU,1675717606
352,daund,18.4667,74.6,21.64,27,0,3.23,IN,1675717607
353,trat,12.5,102.5,26.6,96,100,0.44,TH,1675717608
354,harlingen,26.1906,-97.6961,27.25,82,0,9.52,US,1675717207
355,kiknur,57.3034,47.2011,-21.93,100,100,1.56,RU,1675717608
356,robertsport,6.7533,-11.3686,25.97,85,98,4.93,LR,1675717609
357,port lincoln,-34.7333,135.8667,17.23,84,0,6.63,AU,1675717609
358,yabrud,33.9674,36.6574,-0.48,81,39,12.99,SY,1675717609
359,san quintin,30.4833,-115.95,16.24,55,15,7.52,MX,1675717610
360,kavaratti,10.5669,72.642,26.96,75,84,5.96,IN,1675717610
361,dingle,10.9995,122.6711,23.47,92,100,3.12,PH,1675717611
362,waitati,-45.75,170.5667,20.06,51,1,2.09,NZ,1675717611
363,peniche,39.3558,-9.3811,10.25,88,22,5.02,PT,1675717611
